AC,CB,G,Conductivity,Water Uptake,Electrolyte Uptake
0,100,0,0.079582035,36.72806067,85.57692308
0,0,100,0.004246948,32.45614035,54.65517241
100,0,0,0.00054091,52.71317829,82.69794721
50,0,50,0.00095893,48.16824966,60.77265973
0,50,50,0.02668775,33.18777293,57.05596107
50,50,0,0.012359545,42.03389831,71.52209493
25,50,25,0.024328828,35.40621866,64.59143969
50,25,25,0.008954413,38.81578947,70.47101449
25,25,50,0.015930924,30.17241379,62.15805471
33.33333333,33.33333333,33.33333333,0.02276994,30.87912088,63.39677892
60,10,30,0.000633898,63.34841629,63.16639742
70,20,10,0.000743088,57.09728868,68.80733945
50,40,10,0.003133563,42.55319149,71.87839305
30,60,10,0.018429783,41.47521161,61.66902405
15,70,15,0.028675891,37.65517241,63.42494715
5,80,15,0.052441135,32.35887097,61.71485543
0,70,30,0.029142199,32.1536906,52.99227799
10,60,30,0.020206102,31.39534884,63.58381503
15,40,45,0.013017782,33.41346154,57.93103448
10,10,80,0.003218927,29.88691438,57.33944954