AC,CB,G,Conductivity
0,100,0,0.0205918515954209
0,0,100,0.000881241739685862
100,0,0,0.000128110151499649
50,0,50,0.000239732439419013
0,50,50,0.00698797664189798
50,50,0,0.00365907592720781
25,50,25,0.00659919471577846
50,25,25,0.00221503908088886
25,25,50,0.00348488951904542
33.3333333333333,33.3333333333333,33.3333333333333,0.00602205005084588
60,10,30,0.000139457636573399
70,20,10,0.000176483483003712
50,40,10,0.000806892586145576
30,60,10,0.00469959454478437
15,70,15,0.00620116137357517
5,80,15,0.0154045833551838
0,70,30,0.00775911058007548
10,60,30,0.00489997979389776
15,40,45,0.00310799552188289
10,10,80,0.000579406912646361